Series,ID,Freq,Q1(__),Q2(__),Q3(____),Q4(__),Q5(__),Q6(____),Q7(______),Q8(____)
D,604,1,c,a1,a,c,c,b,c,c
D,1062,1,a,a1,a,a,c,b,c,c
D,1715,1,a,a1,a,a,c,b,c,c
D,3096,1,c,c,c,c,c,c,c,c
D,3542,1,a,c,c,c,c,c,c,c
D,4523,1,c,c,c,c,c,c,c,c
D,4635,1,c,a2,b,a,a,a,b,a
D,4969,1,a,a1,a,a,c,b,c,c
D,5356,1,c,a2,c,c,c,a,c,c
D,5731,1,c,a1,a,a,a,b,c,c
D,5756,1,c,a2,b,c,c,c,c,c
E,2,1532,c,c,c,b,c,a,c,a
E,51,2,c,c,c,c,c,c,c,c
E,53,1029,c,a1,a,a,a,b,a,c
E,54,1061,c,a1,a,a,b,b,a,c
E,55,863,c,a1,a,c,c,b,c,c
E,56,1545,a,a1,a,a,b,b,a,c
E,59,563,a,a1,a,a,a,b,a,c
E,60,655,c,a1,a,a,b,b,c,c
E,64,386,a,a1,c,c,c,b,c,c
E,71,199,a,a1,a,a,c,b,c,c
E,72,518,a,c,c,c,c,c,c,c
E,83,77,a,a1,c,c,c,c,c,c
E,114,443,c,a1,a,a,b,b,a,c
E,116,6781,c,a1,b,a,b,b,a,c
E,120,137,c,a1,a,a,b,b,a,c
E,132,104,c,c,c,c,c,c,c,c
E,137,4093,c,a1,a,a,c,b,a,c
E,141,21,a,a1,a,a,a,b,c,c
E,143,109,a,a1,a,a,c,b,c,c
E,153,551,a,a1,a,a,c,b,c,c
E,164,161,c,a1,a,a,c,b,c,c
E,172,8,a,a1,a,c,c,b,c,c
E,174,5,a,c,c,c,c,c,c,c
E,229,19,c,a2,c,c,c,c,c,c
E,247,40,a,c,c,c,c,c,c,c
E,252,30,a,a1,a,a,b,b,a,c
E,257,125,a,a1,c,c,c,b,a,c
E,259,78,a,a1,c,c,c,c,c,c
E,285,1648,c,a1,a,a,b,b,a,c
E,287,93,c,a1,c,a,b,c,a,c
E,291,448,a,a1,a,c,b,c,c,c
E,298,37,c,c,c,c,c,c,c,c
E,300,15,c,a1,a,a,a,b,a,c
E,301,29,a,c,c,c,c,c,c,c
E,318,217,c,a1,a,a,b,b,a,c
E,322,250,c,a1,a,a,c,b,c,c
E,325,19,c,a1,a,c,c,b,c,c
E,326,291,c,a1,a,c,c,b,c,c
E,338,86,a,a1,a,a,a,b,c,c
E,354,161,c,a1,a,a,b,b,c,c
E,366,39,c,a1,a,a,b,b,a,c
E,371,455,,,,,,,,
E,383,435,,,,,,,,
E,390,199,,,,,,,,
E,392,110,,,,,,,,
E,405,15,,,,,,,,
E,408,23,,,,,,,,
E,410,596,,,,,,,,
E,411,918,,,,,,,,
E,413,89,,,,,,,,
E,415,77,,,,,,,,
E,416,31,,,,,,,,
E,422,121,,,,,,,,
E,423,114,,,,,,,,
E,424,1506,,,,,,,,
E,426,132,,,,,,,,
E,428,143,,,,,,,,
E,429,155,,,,,,,,
E,434,144,,,,,,,,
E,435,135,,,,,,,,
E,441,10,,,,,,,,
E,443,156,,,,,,,,
E,462,15804,,,,,,,,
E,472,24831,,,,,,,,
E,488,2828,,,,,,,,
E,491,2,,,,,,,,
E,516,985,,,,,,,,
E,523,334,,,,,,,,
E,525,62,,,,,,,,
E,535,229,,,,,,,,
E,558,14530,,,,,,,,
E,559,225,,,,,,,,
E,569,3,,,,,,,,
E,579,385,,,,,,,,
E,580,113,,,,,,,,
E,586,372,,,,,,,,
E,589,8,,,,,,,,
E,590,798,,,,,,,,
E,591,3079,,,,,,,,
E,592,62,,,,,,,,
E,605,2215,,,,,,,,
E,609,565,,,,,,,,
E,611,1989,,,,,,,,
E,632,91,,,,,,,,
E,636,183,,,,,,,,
E,652,114,,,,,,,,
E,660,11,,,,,,,,
E,666,10,,,,,,,,
E,744,4,,,,,,,,
